mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,12,1.000e-10,35,0.784610,0.921570,0.006105,-0.027681,0.008687
omega,gs,3,5,12,1.000e-10,36,0.779583,0.921448,-0.009875,0.007364,-0.016372
omega,gs,3,5,12,1.000e-10,37,0.778852,0.920532,0.002592,0.001302,-0.010059
omega,gs,3,5,12,1.000e-10,38,0.775021,0.920349,0.005853,-0.007146,-0.001757
omega,gs,3,5,12,1.000e-10,39,0.778777,0.922058,0.009510,-0.006823,0.003656
omega,gs,3,5,12,1.000e-10,40,0.777517,0.920593,-0.007432,0.005493,0.007069
omega,gs,3,5,12,1.000e-10,41,0.772163,0.917664,0.006994,-0.000539,0.003843
omega,gs,3,5,12,1.000e-10,42,0.783179,0.926025,-0.010820,0.004266,-0.001213
omega,gs,3,5,12,1.000e-10,43,0.770967,0.916138,-0.000536,0.006123,0.007184
omega,gs,3,5,12,1.000e-10,44,0.774843,0.918396,0.001576,0.003563,0.005590
omega,gs,3,5,12,1.000e-10,45,0.774897,0.921631,-0.002615,-0.005416,0.002585
omega,gs,3,5,12,1.000e-10,46,0.768879,0.917297,0.001948,0.022181,-0.003144
omega,gs,3,5,12,1.000e-10,47,0.779407,0.921875,-0.005554,0.003602,0.013344
omega,gs,3,5,12,1.000e-10,48,0.771271,0.919861,0.005094,0.002740,0.005156
omega,gs,3,5,12,1.000e-10,49,0.777846,0.921387,-0.000629,0.008088,-0.000348
omega,gs,3,5,12,1.000e-10,50,0.775614,0.920166,-0.003071,0.010337,-0.008233
omega,gs,3,5,12,1.000e-10,51,0.776083,0.918152,-0.006079,-0.002243,0.005399
omega,gs,3,5,12,1.000e-10,52,0.780102,0.921387,-0.008773,-0.009073,0.002182
omega,gs,3,5,12,1.000e-10,53,0.784956,0.922974,-0.009276,0.000571,-0.012997
omega,gs,3,5,12,1.000e-10,54,0.785906,0.923035,-0.017803,-0.004981,-0.012063
omega,gs,3,5,12,1.000e-10,55,0.773433,0.917664,-0.002375,-0.002275,-0.010841
omega,gs,3,5,12,1.000e-10,56,0.771743,0.917847,0.001384,0.014309,0.011194
omega,gs,3,5,12,1.000e-10,57,0.778860,0.921143,-0.001575,-0.002741,0.001378
omega,gs,3,5,12,1.000e-10,58,0.778837,0.921448,-0.000686,-0.003479,-0.013773
omega,gs,3,5,12,1.000e-10,59,0.774208,0.916931,0.004388,-0.000037,0.001202
omega,gs,3,5,12,1.000e-10,60,0.770715,0.920471,0.009846,0.009813,-0.003523
omega,gs,3,5,12,1.000e-10,61,0.779552,0.922302,-0.004964,-0.009692,-0.006812
omega,gs,3,5,12,1.000e-10,62,0.768030,0.916748,0.006907,0.017507,0.003270
omega,gs,3,5,12,1.000e-10,63,0.777955,0.921326,0.013067,-0.005282,-0.008936
omega,gs,3,5,12,1.000e-10,64,0.775420,0.918640,0.004371,0.004610,0.005944
omega,gs,3,5,12,1.000e-10,65,0.772590,0.921082,-0.002620,0.012180,-0.003357
omega,gs,3,5,12,1.000e-10,66,0.771468,0.920654,0.023612,0.006819,-0.000007
omega,gs,3,5,12,1.000e-10,67,0.784708,0.922913,-0.004307,-0.010314,-0.004228
omega,gs,3,5,12,1.000e-10,68,0.776109,0.920471,-0.007536,0.010683,-0.004559
omega,gs,3,5,12,1.000e-10,69,0.768149,0.916626,0.007718,0.002230,0.004435
omega,gs,3,5,12,1.000e-10,70,0.773633,0.919312,0.000540,-0.000700,0.003585
omega,gs,3,5,12,1.000e-10,71,0.767431,0.916443,0.007222,0.012442,0.006448
omega,gs,3,5,12,1.000e-10,72,0.772813,0.920471,-0.001034,0.000984,-0.000950
omega,gs,3,5,12,1.000e-10,73,0.776261,0.921570,-0.000236,0.005007,0.002916
omega,gs,3,5,12,1.000e-10,74,0.773446,0.918762,-0.006036,0.000044,0.011619
omega,gs,3,5,12,1.000e-10,75,0.776030,0.921936,-0.001082,0.003086,0.007691
omega,gs,3,5,12,1.000e-10,76,0.785512,0.924377,-0.014669,-0.009501,-0.016453
omega,gs,3,5,12,1.000e-10,77,0.774672,0.919800,-0.007957,0.013413,0.003265
omega,gs,3,5,12,1.000e-10,78,0.786768,0.924500,-0.003356,-0.002421,-0.016353
omega,gs,3,5,12,1.000e-10,79,0.777850,0.920837,0.002660,-0.014912,-0.000931
omega,gs,3,5,12,1.000e-10,80,0.780298,0.925049,0.007140,-0.021673,0.003856
omega,gs,3,5,12,1.000e-08,1,-18.420681,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-08,2,-12.600371,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-08,3,-6.834593,0.000000,1.000000,0.999991,1.000000
omega,gs,3,5,12,1.000e-08,4,-1.243885,0.327271,0.994160,0.531943,0.994231
omega,gs,3,5,12,1.000e-08,5,0.639400,0.874573,0.124308,0.023340,0.123661
omega,gs,3,5,12,1.000e-08,6,0.762324,0.914795,0.008688,0.007237,0.024080
omega,gs,3,5,12,1.000e-08,7,0.774415,0.919312,0.012924,0.003326,-0.003231
omega,gs,3,5,12,1.000e-08,8,0.779045,0.920654,-0.002228,-0.016769,0.006363
omega,gs,3,5,12,1.000e-08,9,0.775327,0.920471,0.007097,-0.004317,-0.003102
omega,gs,3,5,12,1.000e-08,10,0.773465,0.919128,-0.002805,-0.006275,0.007479
omega,gs,3,5,12,1.000e-08,11,0.769793,0.919373,0.004500,0.013348,0.015718
omega,gs,3,5,12,1.000e-08,12,0.774817,0.921692,-0.003437,0.011832,0.005937
omega,gs,3,5,12,1.000e-08,13,0.777168,0.920471,-0.007376,0.001237,0.010523
omega,gs,3,5,12,1.000e-08,14,0.779000,0.919739,-0.005481,-0.004628,0.001633
omega,gs,3,5,12,1.000e-08,15,0.776071,0.920227,-0.008341,0.004383,0.007597
omega,gs,3,5,12,1.000e-08,16,0.777067,0.921692,-0.006020,0.003068,0.006700
omega,gs,3,5,12,1.000e-08,17,0.778779,0.921814,-0.000820,0.000503,-0.008170
omega,gs,3,5,12,1.000e-08,18,0.776579,0.921509,-0.004517,0.001264,-0.001090
omega,gs,3,5,12,1.000e-08,19,0.778461,0.922485,-0.000075,-0.002154,0.000475
omega,gs,3,5,12,1.000e-08,20,0.775619,0.920532,0.012740,-0.004376,0.000246
omega,gs,3,5,12,1.000e-08,21,0.778254,0.923035,0.009951,0.010572,-0.000773
omega,gs,3,5,12,1.000e-08,22,0.776853,0.918518,-0.002868,0.006626,-0.003301
omega,gs,3,5,12,1.000e-08,23,0.778359,0.920715,0.017238,-0.000610,-0.008056
omega,gs,3,5,12,1.000e-08,24,0.778388,0.919373,-0.009142,-0.013364,0.002507
omega,gs,3,5,12,1.000e-08,25,0.773381,0.917969,0.005942,-0.000567,0.006789
omega,gs,3,5,12,1.000e-08,26,0.771559,0.919678,0.006361,0.007443,-0.003152
omega,gs,3,5,12,1.000e-08,27,0.767702,0.920776,0.015641,0.005746,0.002451
omega,gs,3,5,12,1.000e-08,28,0.781595,0.923096,-0.005165,0.001350,-0.003675
omega,gs,3,5,12,1.000e-08,29,0.779151,0.922058,0.002206,-0.004339,-0.004502
omega,gs,3,5,12,1.000e-08,30,0.778821,0.923157,-0.007596,0.005618,-0.004215
omega,gs,3,5,12,1.000e-08,31,0.775456,0.919250,-0.000526,0.008001,0.002535
omega,gs,3,5,12,1.000e-08,32,0.774229,0.919373,-0.011644,-0.004348,0.009247
omega,gs,3,5,12,1.000e-08,33,0.771086,0.919922,0.007036,0.005669,-0.000178
omega,gs,3,5,12,1.000e-08,34,0.774281,0.915466,-0.006383,-0.003637,0.011280
omega,gs,3,5,12,1.000e-08,35,0.773208,0.918701,0.003610,-0.001789,0.003593
omega,gs,3,5,12,1.000e-08,36,0.772611,0.918396,-0.004817,0.008078,0.007042
omega,gs,3,5,12,1.000e-08,37,0.770437,0.912842,-0.005682,-0.000165,0.004802
omega,gs,3,5,12,1.000e-08,38,0.777029,0.920532,0.011724,-0.003208,-0.001401
omega,gs,3,5,12,1.000e-08,39,0.774352,0.918762,-0.000654,-0.003619,-0.006207
omega,gs,3,5,12,1.000e-08,40,0.778340,0.921326,-0.010100,-0.006403,0.004773
omega,gs,3,5,12,1.000e-08,41,0.769280,0.918030,0.012537,0.002551,0.013942
omega,gs,3,5,12,1.000e-08,42,0.775026,0.921936,0.004662,0.000220,0.010484
omega,gs,3,5,12,1.000e-08,43,0.777465,0.919250,0.001460,0.003880,0.001565
omega,gs,3,5,12,1.000e-08,44,0.786887,0.926697,-0.005828,-0.007352,-0.004363
omega,gs,3,5,12,1.000e-08,45,0.775186,0.917786,0.002324,0.010936,-0.014933
omega,gs,3,5,12,1.000e-08,46,0.771800,0.917358,0.014264,-0.005266,-0.002895
omega,gs,3,5,12,1.000e-08,47,0.768554,0.915588,0.000063,0.011089,0.011343
omega,gs,3,5,12,1.000e-08,48,0.776872,0.917114,-0.003322,0.001156,-0.008234
omega,gs,3,5,12,1.000e-08,49,0.779583,0.922363,-0.008754,-0.002044,-0.006279
omega,gs,3,5,12,1.000e-08,50,0.775658,0.919861,-0.007777,0.004878,0.002466
omega,gs,3,5,12,1.000e-08,51,0.779920,0.921021,0.013220,-0.014416,-0.006338
omega,gs,3,5,12,1.000e-08,52,0.781350,0.923096,0.001753,-0.005520,-0.011774
omega,gs,3,5,12,1.000e-08,53,0.768041,0.920715,0.012144,0.007007,-0.007628
omega,gs,3,5,12,1.000e-08,54,0.776204,0.918884,0.002368,0.001892,-0.007938
omega,gs,3,5,12,1.000e-08,55,0.778444,0.923340,-0.009598,-0.000853,0.009290
omega,gs,3,5,12,1.000e-08,56,0.778566,0.923767,0.004343,0.008962,-0.005614
omega,gs,3,5,12,1.000e-08,57,0.775070,0.920288,-0.000326,0.011357,-0.001306
omega,gs,3,5,12,1.000e-08,58,0.778510,0.920410,-0.001242,-0.004466,0.002541
omega,gs,3,5,12,1.000e-08,59,0.779762,0.921997,-0.012581,-0.008140,0.000062
omega,gs,3,5,12,1.000e-08,60,0.780862,0.922913,-0.009256,-0.004171,0.001611
omega,gs,3,5,12,1.000e-08,61,0.782218,0.922913,0.003289,-0.008563,-0.016087
omega,gs,3,5,12,1.000e-08,62,0.778204,0.920471,-0.012289,-0.012523,0.002944
omega,gs,3,5,12,1.000e-08,63,0.774501,0.918579,0.013848,-0.004358,0.000439
omega,gs,3,5,12,1.000e-08,64,0.780662,0.921997,-0.007548,-0.017287,0.012283
omega,gs,3,5,12,1.000e-08,65,0.775249,0.921631,0.005216,-0.003848,-0.007942
omega,gs,3,5,12,1.000e-08,66,0.778855,0.921082,0.003022,-0.004472,0.011088
omega,gs,3,5,12,1.000e-08,67,0.773258,0.919250,-0.004893,-0.001102,0.005126
omega,gs,3,5,12,1.000e-08,68,0.777797,0.920776,0.004322,0.002845,0.004434
omega,gs,3,5,12,1.000e-08,69,0.773863,0.916199,-0.005488,0.002216,0.011898
omega,gs,3,5,12,1.000e-08,70,0.769953,0.916626,0.004393,0.004879,0.003974
omega,gs,3,5,12,1.000e-08,71,0.784806,0.923157,-0.007314,0.003020,-0.011394
omega,gs,3,5,12,1.000e-08,72,0.775264,0.919250,0.000986,0.000302,0.004184
omega,gs,3,5,12,1.000e-08,73,0.789012,0.925232,-0.003437,-0.007266,-0.013897
omega,gs,3,5,12,1.000e-08,74,0.778198,0.921082,0.003295,-0.001841,-0.009847
omega,gs,3,5,12,1.000e-08,75,0.775973,0.921997,0.003807,-0.005288,0.006001
omega,gs,3,5,12,1.000e-08,76,0.772654,0.917725,-0.003396,0.007593,0.009536
omega,gs,3,5,12,1.000e-08,77,0.781364,0.923645,-0.018202,-0.016831,0.007541
omega,gs,3,5,12,1.000e-08,78,0.777324,0.922974,-0.002378,0.010109,-0.006612
omega,gs,3,5,12,1.000e-08,79,0.780609,0.919861,-0.001690,-0.013607,0.006019
omega,gs,3,5,12,1.000e-08,80,0.782258,0.923279,-0.009250,0.011258,-0.014241
omega,gs,3,5,12,1.000e-06,1,-13.815511,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-06,2,-7.995202,0.000000,1.000000,1.000000,1.000000
omega,gs,3,5,12,1.000e-06,3,-2.230606,0.049072,0.999860,0.917355,0.999858
omega,gs,3,5,12,1.000e-06,4,0.572955,0.848389,0.199769,0.029516,0.215178
omega,gs,3,5,12,1.000e-06,5,0.772455,0.920532,0.014176,-0.003716,-0.003278
omega,gs,3,5,12,1.000e-06,6,0.776898,0.919434,-0.005834,-0.005284,-0.001660
omega,gs,3,5,12,1.000e-06,7,0.771223,0.915771,0.002826,0.010382,0.004211
omega,gs,3,5,12,1.000e-06,8,0.773902,0.918030,0.002335,-0.004828,0.001003
omega,gs,3,5,12,1.000e-06,9,0.777561,0.920044,0.003700,-0.016128,0.012335
omega,gs,3,5,12,1.000e-06,10,0.782005,0.924255,0.003843,0.008724,-0.021115
omega,gs,3,5,12,1.000e-06,11,0.782341,0.923340,-0.000087,-0.010251,0.008441
omega,gs,3,5,12,1.000e-06,12,0.773770,0.920044,0.002163,0.003476,-0.008053
omega,gs,3,5,12,1.000e-06,13,0.779592,0.922302,-0.020318,0.003315,0.009218
omega,gs,3,5,12,1.000e-06,14,0.768532,0.919067,0.012754,0.011956,0.005970
omega,gs,3,5,12,1.000e-06,15,0.778779,0.924500,-0.009111,0.001845,0.001800
omega,gs,3,5,12,1.000e-06,16,0.778624,0.922424,-0.012421,-0.017355,0.006444
omega,gs,3,5,12,1.000e-06,17,0.778689,0.920959,-0.005105,0.005641,0.001915
omega,gs,3,5,12,1.000e-06,18,0.772543,0.918884,0.012450,0.001339,0.007811
omega,gs,3,5,12,1.000e-06,19,0.776043,0.919617,-0.005831,-0.008311,0.012395
omega,gs,3,5,12,1.000e-06,20,0.775052,0.919189,0.007612,0.005824,-0.003362
omega,gs,3,5,12,1.000e-06,21,0.772387,0.917297,-0.005006,-0.010720,0.016232
omega,gs,3,5,12,1.000e-06,22,0.774310,0.918884,-0.001871,-0.006190,0.003044
omega,gs,3,5,12,1.000e-06,23,0.773001,0.917603,0.011682,0.009806,-0.018172
omega,gs,3,5,12,1.000e-06,24,0.774894,0.919495,0.005548,0.001908,0.006962
omega,gs,3,5,12,1.000e-06,25,0.772309,0.919373,-0.010746,0.007934,0.000888
omega,gs,3,5,12,1.000e-06,26,0.775820,0.920288,0.002481,-0.005257,0.003731
omega,gs,3,5,12,1.000e-06,27,0.774756,0.922302,0.017211,0.007346,-0.002876
omega,gs,3,5,12,1.000e-06,28,0.779171,0.922668,-0.014763,0.002535,0.001852
omega,gs,3,5,12,1.000e-06,29,0.773195,0.920410,0.004533,-0.008980,0.000623
omega,gs,3,5,12,1.000e-06,30,0.778635,0.920288,-0.001333,-0.018118,-0.003211
omega,gs,3,5,12,1.000e-06,31,0.775947,0.921997,-0.001837,0.006258,-0.001845
omega,gs,3,5,12,1.000e-06,32,0.772181,0.916687,0.005541,-0.006044,0.005859
omega,gs,3,5,12,1.000e-06,33,0.778973,0.919983,0.011446,-0.002580,0.001478
omega,gs,3,5,12,1.000e-06,34,0.774691,0.919128,0.002072,-0.000905,-0.001031
omega,gs,3,5,12,1.000e-06,35,0.780038,0.920654,-0.007481,-0.009268,0.006045
omega,gs,3,5,12,1.000e-06,36,0.779433,0.922363,0.003756,-0.010143,0.007230
omega,gs,3,5,12,1.000e-06,37,0.778650,0.923401,-0.018458,-0.001123,-0.002532
omega,gs,3,5,12,1.000e-06,38,0.776632,0.921875,-0.001406,0.004392,0.009135
omega,gs,3,5,12,1.000e-06,39,0.766524,0.913940,0.011534,0.018723,0.005213
omega,gs,3,5,12,1.000e-06,40,0.777747,0.921692,-0.000706,0.006887,-0.002403
omega,gs,3,5,12,1.000e-06,41,0.780011,0.923096,0.010761,-0.011071,-0.006646
omega,gs,3,5,12,1.000e-06,42,0.781540,0.923035,-0.001395,-0.012970,-0.004227
omega,gs,3,5,12,1.000e-06,43,0.780733,0.922241,-0.004296,-0.007781,0.005642
omega,gs,3,5,12,1.000e-06,44,0.771282,0.919250,0.001231,0.004170,0.005538
omega,gs,3,5,12,1.000e-06,45,0.775207,0.918823,-0.004542,0.006368,-0.006417
omega,gs,3,5,12,1.000e-06,46,0.775797,0.920227,0.002543,-0.003592,0.010831
omega,gs,3,5,12,1.000e-06,47,0.776962,0.923218,0.006046,0.003430,-0.007338
omega,gs,3,5,12,1.000e-06,48,0.778667,0.920654,-0.003386,-0.004593,0.002878
omega,gs,3,5,12,1.000e-06,49,0.779639,0.922668,0.003523,-0.017723,0.006551
omega,gs,3,5,12,1.000e-06,50,0.780448,0.924133,0.003087,-0.009223,-0.001267
