# MCL bifurcation sweep (fine step-0.005) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
2.070,2.403501,0.895980,0.009114,6.258597,199,CHAOTIC
2.075,2.410124,0.898531,0.086423,6.264565,199,CHAOTIC
2.080,2.406165,0.899277,0.120107,6.262374,198,CHAOTIC
2.085,2.414190,0.902446,0.018769,6.160960,196,CHAOTIC
2.090,2.409094,0.894803,0.013460,6.248742,194,CHAOTIC
2.095,2.420370,0.890403,0.043325,6.264872,199,CHAOTIC
2.100,2.418030,0.901142,0.006893,6.264896,200,CHAOTIC
2.105,2.427057,0.902520,0.024613,6.278703,197,CHAOTIC
2.110,2.432104,0.904510,0.037902,6.272356,198,CHAOTIC
2.115,2.436516,0.897810,0.031444,6.274915,197,CHAOTIC
2.120,2.434404,0.894897,0.029645,6.263023,191,CHAOTIC
2.125,2.432915,0.894104,0.020406,6.175741,198,CHAOTIC
2.130,2.437362,0.899309,0.032573,6.272928,198,CHAOTIC
2.135,2.446501,0.898227,0.025687,6.274683,194,CHAOTIC
2.140,2.451185,0.892959,0.033442,6.207546,194,CHAOTIC
2.145,2.450589,0.897360,0.005698,6.264155,194,CHAOTIC
2.150,2.454019,0.899918,0.032837,6.233958,198,CHAOTIC
2.155,2.459050,0.897883,0.002039,6.264237,198,CHAOTIC
2.160,2.466165,0.904053,0.005558,6.256978,198,CHAOTIC
2.165,2.463827,0.905974,0.060182,6.270430,198,CHAOTIC
2.170,2.473125,0.907379,0.011923,6.273415,195,CHAOTIC
2.175,2.480843,0.903972,0.044390,6.258876,195,CHAOTIC
2.180,2.487528,0.906324,0.031449,6.269064,199,CHAOTIC
2.185,2.492873,0.903996,0.048034,6.278419,199,CHAOTIC
2.190,2.491980,0.907376,0.011731,6.280767,199,CHAOTIC
2.195,2.500526,0.906636,0.011859,6.204492,198,CHAOTIC
2.200,2.507760,0.904406,0.059729,6.271522,192,CHAOTIC
2.205,2.507983,0.912626,0.061368,6.237713,196,CHAOTIC
2.210,2.513829,0.909252,0.092315,6.233535,198,CHAOTIC
2.215,2.519214,0.899016,0.033810,6.278525,196,CHAOTIC
2.220,2.529534,0.897582,0.031672,6.250547,195,CHAOTIC
2.225,2.520525,0.902891,0.013202,6.280841,198,CHAOTIC
2.230,2.530394,0.900433,0.028712,6.266975,196,CHAOTIC
2.235,2.535819,0.897091,0.000741,6.213377,196,CHAOTIC
2.240,2.537038,0.898526,0.078977,6.192988,193,CHAOTIC
2.245,2.540256,0.898029,0.018404,6.204844,195,CHAOTIC
2.250,2.549743,0.898203,0.002206,6.282775,198,CHAOTIC
2.255,2.554860,0.900450,0.077291,6.255918,200,CHAOTIC
2.260,2.553305,0.898686,0.027616,6.258155,195,CHAOTIC
2.265,2.555400,0.899118,0.074210,6.259841,197,CHAOTIC
2.270,2.560346,0.898700,0.001858,6.251325,198,CHAOTIC
2.275,2.566639,0.898323,0.002692,6.272959,198,CHAOTIC
2.280,2.567835,0.903948,0.132140,6.270933,194,CHAOTIC
2.285,2.576820,0.902152,0.035351,6.275176,193,CHAOTIC
2.290,2.573845,0.907668,0.001123,6.281061,194,CHAOTIC
2.295,2.586087,0.912204,0.013958,6.277205,198,CHAOTIC
2.300,2.579505,0.916950,0.023635,6.276059,197,CHAOTIC
2.305,2.591612,0.911309,0.030215,6.216016,197,CHAOTIC
2.310,2.590029,0.909982,0.003924,6.222312,198,CHAOTIC
2.315,2.590565,0.913011,0.035877,6.273648,194,CHAOTIC
2.320,2.602701,0.912877,0.019267,6.262024,197,CHAOTIC
2.325,2.601726,0.910822,0.000207,6.254352,198,CHAOTIC
2.330,2.608371,0.914379,0.019447,6.281339,198,CHAOTIC
2.335,2.610494,0.916950,0.017297,6.244324,196,CHAOTIC
2.340,2.620599,0.921102,0.005782,6.269259,198,CHAOTIC
2.345,2.618657,0.918579,0.093212,6.255512,195,CHAOTIC
2.350,2.626931,0.919399,0.023795,6.282202,199,CHAOTIC
2.355,2.633400,0.916443,0.035852,6.254594,196,CHAOTIC
2.360,2.635233,0.920426,0.085086,6.260190,198,CHAOTIC
2.365,2.640679,0.923095,0.027137,6.278326,197,CHAOTIC
2.370,2.644859,0.922108,0.034829,6.277051,196,CHAOTIC
2.375,2.652316,0.923744,0.047392,6.245162,198,CHAOTIC
2.380,2.656789,0.921061,0.006321,6.211579,196,CHAOTIC
2.385,2.652466,0.923953,0.001423,6.241206,198,CHAOTIC
2.390,2.657660,0.928313,0.052176,6.271563,196,CHAOTIC
2.395,2.658811,0.923300,0.006552,6.264382,198,CHAOTIC
2.400,2.657403,0.921613,0.077266,6.250192,196,CHAOTIC
2.405,2.659930,0.923179,0.029762,6.245813,197,CHAOTIC
2.410,2.666769,0.924016,0.010255,6.277353,197,CHAOTIC
2.415,2.672444,0.926157,0.010377,6.266323,198,CHAOTIC
2.420,2.678386,0.928381,0.000963,6.278847,197,CHAOTIC
2.425,2.681568,0.928824,0.066872,6.282226,196,CHAOTIC
2.430,2.680165,0.932202,0.059011,6.252648,198,CHAOTIC
2.435,2.696105,0.926675,0.006708,6.258794,196,CHAOTIC
2.440,2.696968,0.933224,0.013428,6.229858,200,CHAOTIC
